nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Zero Gravity IT,informador turistico,38001,Adeje,-16.73568164,28.07873783,2017-01-01
Zeppelin,restaurante,38028,Puerto de la Cruz,-16.5531021,28.41501014,2016-01-01
Zenobio,restaurante,38046,Tegueste,-16.342407,28.52419699,2016-01-01
Zenith Digital,electricidad electronica,38028,Puerto de la Cruz,-16.54505363,28.41693681,2022-01-01
Zenete Luxury Watch,bazar electronica,38038,Santa Cruz de Tenerife,-16.300152,28.44462199,2016-01-01
Zenete Luxury Watch,bazar electronica,38038,Santa Cruz de Tenerife,-16.300152,28.44462199,2017-01-01
Zenete Luxury Watch,bazar electronica,38038,Santa Cruz de Tenerife,-16.300152,28.44462199,2018-01-01
Zena Excursioni,agencia de viajes,38006,Arona,-16.72984754,28.06602681,2017-01-01
Zena Excursiones IT,informador turistico,38006,Arona,-16.72985747,28.06598299,2017-01-01
Zena,restaurante,38001,Adeje,-16.72767011,28.07784262,2016-01-01
Zen Saciones Cafe Lounge,restaurante,38041,El Sauzal,-16.4244796,28.47333218,2016-01-01
Zebenzui,bar cafeteria,38023,La Laguna,-16.33053572,28.56433888,2017-01-01
Zebenzui,bar cafeteria,38023,La Laguna,-16.33053572,28.56433888,2016-01-01
Zdaura Trattoria Bolognese,restaurante,38006,Arona,-16.71959068,28.05115113,2017-01-01
Zazzamita,restaurante,38006,Arona,-16.72234813,28.05193585,2016-01-01
Zarpa,bazar multitienda estanco,38038,Santa Cruz de Tenerife,-16.253128,28.46198799,2016-01-01
Zarpa,bazar multitienda estanco,38038,Santa Cruz de Tenerife,-16.25699458,28.46105796,2016-01-01
Zarcillo,joyeria relojeria,38026,La Orotava,-16.52373121,28.39015498,2016-01-01
Zaray,bar,38038,Santa Cruz de Tenerife,-16.26985441,28.46874766,2017-01-01
Zara Lorraine Law IT,informador turistico,38019,Guía de Isora,-16.75896972,28.17681698,2017-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38001,Adeje,-16.72130548,28.06857245,2016-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38026,La Orotava,-16.54697822,28.39649131,2017-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38026,La Orotava,-16.54680677,28.39655755,2016-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38026,La Orotava,-16.54697822,28.39649131,2016-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38026,La Orotava,-16.54680677,28.39655755,2017-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38038,Santa Cruz de Tenerife,-16.25064162,28.4669819,2016-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38038,Santa Cruz de Tenerife,-16.25064162,28.4669819,2017-01-01
Zara Home,hogar muebles electrodomesticos decoracion,38038,Santa Cruz de Tenerife,-16.258747,28.45668399,2016-01-01
Zara,moda complementos,38001,Adeje,-16.72122824,28.06867609,2016-01-01
Zara,moda complementos,38006,Arona,-16.71756835,28.05186056,2017-01-01
Zara,moda complementos,38006,Arona,-16.71756835,28.05186056,2016-01-01
Zara,moda complementos,38026,La Orotava,-16.54862484,28.39505398,2017-01-01
Zara,moda complementos,38026,La Orotava,-16.54862484,28.39505398,2016-01-01
Zara,moda complementos,38038,Santa Cruz de Tenerife,-16.24898912,28.46709401,2017-01-01
Zara,moda complementos,38038,Santa Cruz de Tenerife,-16.259604,28.45716799,2016-01-01
Zara,moda complementos,38038,Santa Cruz de Tenerife,-16.24898912,28.46709401,2016-01-01
Zara,moda complementos,38038,Santa Cruz de Tenerife,-16.24896499,28.46736225,2017-01-01
Zara,moda complementos,38038,Santa Cruz de Tenerife,-16.24896499,28.46736225,2016-01-01
Zapillo VV,vivienda vacacional,38017,Granadilla de Abona,-16.56028816,28.07859969,2016-01-01
